Chromosome,Genomic Position Start,Genomic Position End,Cyto Location,Computed Cyto Location,MIM Number,MIMGeneName,Gene Name,Approved Symbol,Entrez Gene ID,Ensembl Gene ID,Comments,Phenotypes,Mouse Gene Symbol/ID,Sel,Sub_sel
chr2,219249709,219254739,2q35,2q35,191110,TUBA4A,"Tubulin, alpha-4A",TUBA4A,7277,ENSG00000127824,,"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208 (3), Autosomal dominant",Tuba4a (MGI:1095410),1,ALS
chr2,219249709,219254739,2q35,2q35,191110, TUBA1,"Tubulin, alpha-4A",TUBA4A,7277,ENSG00000127824,,"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208 (3), Autosomal dominant",Tuba4a (MGI:1095410),1,ALS
chr2,219249709,219254739,2q35,2q35,191110, ALS22,"Tubulin, alpha-4A",TUBA4A,7277,ENSG00000127824,,"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208 (3), Autosomal dominant",Tuba4a (MGI:1095410),1,ALS
chr10,80150888,80205807,10q22.3-q23.1,10q22.3,602572,ANXA11,Annexin A11 (annexin XI),ANXA11,311,ENSG00000122359,,"Amyotrophic lateral sclerosis 23, 617839 (3), Autosomal dominant",Anxa11 (MGI:108481),1,ALS
chr10,80150888,80205807,10q22.3-q23.1,10q22.3,602572, ANX11,Annexin A11 (annexin XI),ANXA11,311,ENSG00000122359,,"Amyotrophic lateral sclerosis 23, 617839 (3), Autosomal dominant",Anxa11 (MGI:108481),1,ALS
chr10,80150888,80205807,10q22.3-q23.1,10q22.3,602572, ALS23,Annexin A11 (annexin XI),ANXA11,311,ENSG00000122359,,"Amyotrophic lateral sclerosis 23, 617839 (3), Autosomal dominant",Anxa11 (MGI:108481),1,ALS
chr18,45900000,63900000,18q21,,606640,ALS3,Amyotrophic lateral sclerosis 3,,253,,,"Amyotrophic lateral sclerosis 3, 606640 (2), Autosomal dominant",,1,ALS
chr16,31180109,31194870,16p11.2,16p11.2,137070,FUS,"Fusion, derived from 12-16 translocation, malignant liposarcoma",FUS,2521,ENSG00000089280,"fused with DDIT3 in myxoid liposarcoma, with ERG in leukemia, and ATF1 in angiomatoid fibrous histiocytoma","Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 (3); Essential tremor, hereditary, 4, 614782 (3), Autosomal dominant",,1,ALS
chr16,31180109,31194870,16p11.2,16p11.2,137070, TLS,"Fusion, derived from 12-16 translocation, malignant liposarcoma",FUS,2521,ENSG00000089280,"fused with DDIT3 in myxoid liposarcoma, with ERG in leukemia, and ATF1 in angiomatoid fibrous histiocytoma","Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 (3); Essential tremor, hereditary, 4, 614782 (3), Autosomal dominant",,1,ALS
chr16,31180109,31194870,16p11.2,16p11.2,137070, ALS6,"Fusion, derived from 12-16 translocation, malignant liposarcoma",FUS,2521,ENSG00000089280,"fused with DDIT3 in myxoid liposarcoma, with ERG in leukemia, and ATF1 in angiomatoid fibrous histiocytoma","Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 (3); Essential tremor, hereditary, 4, 614782 (3), Autosomal dominant",,1,ALS
chr16,31180109,31194870,16p11.2,16p11.2,137070, ETM4,"Fusion, derived from 12-16 translocation, malignant liposarcoma",FUS,2521,ENSG00000089280,"fused with DDIT3 in myxoid liposarcoma, with ERG in leukemia, and ATF1 in angiomatoid fibrous histiocytoma","Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 (3); Essential tremor, hereditary, 4, 614782 (3), Autosomal dominant",,1,ALS
chr20,0,5100000,20p13,,608031,ALS7,Amyotrophic lateral sclerosis 7,,406238,,max lod at D20S103,"Amyotrophic lateral sclerosis 7, 608031 (2)",,1,ALS
chr14,20684176,20694185,14q11.2,14q11.2,105850,ANG,Angiogenin,ANG,283,ENSG00000214274,proximal to TCRA/TCRD,"Amyotrophic lateral sclerosis 9, 611895 (3)",Ang (MGI:88022),1,ALS
chr14,20684176,20694185,14q11.2,14q11.2,105850, RNASE5,Angiogenin,ANG,283,ENSG00000214274,proximal to TCRA/TCRD,"Amyotrophic lateral sclerosis 9, 611895 (3)",Ang (MGI:88022),1,ALS
chr14,20684176,20694185,14q11.2,14q11.2,105850, ALS9,Angiogenin,ANG,283,ENSG00000214274,proximal to TCRA/TCRD,"Amyotrophic lateral sclerosis 9, 611895 (3)",Ang (MGI:88022),1,ALS
